participant_id,session_date,task,feedback_text
P01,2026-09-10,Book a ride (set pickup & dropoff),"The dropoff pin defaulted to my last saved home address instead of where I actually wanted to go. I had to correct it every time."
P02,2026-09-10,Book a ride (set pickup & dropoff),"When I switched the app to Arabic, the route preview mirrored but the car icon kept pointing the wrong direction on the road."
P03,2026-09-10,Choose ride type & confirm,"Prices are shown in USD even though I'm in Dubai — I had to convert to AED myself before confirming."
P04,2026-09-10,Choose ride type & confirm,"The 'Confirm ride' and 'Cancel' buttons are right next to each other in almost the same color — I nearly canceled by mistake."
P05,2026-09-11,Track captain en route,"The ETA jumped from 4 minutes to 11 with no explanation, which made me think something had gone wrong."
P06,2026-09-11,Track captain en route,"In dark mode, the map roads and the background are nearly the same shade of gray — hard to tell where the road actually is at night."
P07,2026-09-11,Pay for a ride,"My saved card failed silently — the app just sat on a spinner. I didn't know if I should try again or if I'd already been charged."
P08,2026-09-11,Pay for a ride,"After payment there's no itemized breakdown, just a total. I couldn't tell how much was the base fare vs. surge."
P09,2026-09-12,Switch app language to Arabic,"Half the settings menu flipped to RTL but the bottom nav icons stayed left-to-right ordered — felt broken, not intentional."
P10,2026-09-12,Switch app language to Arabic,"Numbers in the fare summary showed as Arabic-Indic digits in some places and Western digits in others, on the same screen."
P11,2026-09-12,Rate the driver,"The star rating widget is tiny and hard to tap precisely right after getting out of a moving vehicle."
P12,2026-09-12,Rate the driver,"There's no way to add quick feedback tags like 'safe driving' or 'clean car' — just a blank text box that feels like a lot of effort after a short ride."
P13,2026-09-13,Cancel a ride,"I got charged a cancellation fee but the app never told me there would be one before I canceled."
P14,2026-09-13,Cancel a ride,"After canceling, the app just showed a blank screen for a few seconds — I thought it had crashed."
P15,2026-09-13,Book a ride for someone else,"There's no way to book a ride for a family member and share live tracking with them — I had to send screenshots over WhatsApp."
P16,2026-09-14,First-time app onboarding,"The permission requests for location, notifications and contacts all came at once — I just tapped 'allow' on everything without reading."
P17,2026-09-14,First-time app onboarding,"Onboarding assumed I already knew what 'Captain' means instead of 'driver' — took me a screen or two to realize they're the same thing."
P18,2026-09-14,Use the app during a network drop,"My connection dropped mid-ride and when it came back, the map hadn't updated — I couldn't tell if the ride was still being tracked correctly."
